,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
338,潍柴动力,汽车配件,山东,209217.0,399862.0,11977403.0,6242493.0,2307011.0,7.86,1.3,20070430,386210.0,8.03,8.0
880,潍柴重机,机械基件,山东,13514.0,27610.0,349927.84,133219.0,129183.0,4.63,3.6,19980402,5313.0,11.26,59.0
600755,厦门国贸,商贸代理,福建,166447.0,166447.0,4062603.5,3615008.0,116171.0,4.64,1.9,19961003,72601.0,6.44,15.0
2724,海洋王,半导体,深圳,6117.0,40000.0,160527.81,111999.0,19983.0,3.65,7.5,20141104,17070.0,18.53,43.0
301,东方市场,综合类,江苏,121824.0,121824.0,414259.56,108618.0,24210.0,2.63,2.4,20000529,23818.0,4.84,25.0
600550,保变电气,电气设备,河北,137299.0,153461.0,893166.63,589816.0,110391.0,0.62,14.6,20010228,-223009.0,6.46,-4.0
600664,哈药股份,化学制药,黑龙江,191748.0,191748.0,1563288.5,1015842.0,432265.0,3.51,3.5,19930629,30514.0,9.69,61.0
300412,迦南科技,医疗保健,浙江,2948.0,11748.0,46462.48,35042.0,9159.0,3.23,14.7,20141231,3790.0,30.7,95.0
601368,绿城水务,水务,广西,14700.0,73581.0,693300.81,151441.0,327945.0,3.44,5.2,20150612,20490.0,13.77,49.0
600111,北方稀土,小金属,内蒙,221920.0,363307.0,1518250.13,1000228.0,210240.0,2.29,6.4,19970924,124253.0,12.16,36.0
601,韶能股份,火力发电,广东,99395.0,108055.0,863791.63,131359.0,690010.0,3.62,3.5,19960830,20189.0,8.11,43.0
2086,东方海洋,渔业,山东,23781.0,34385.0,298286.59,156030.0,129729.0,5.94,4.8,20061128,6593.0,17.05,89.0
837,秦川机床,机床制造,陕西,48150.0,69337.0,666989.38,386490.0,193157.0,4.2,3.5,19980928,28.0,9.76,24460.0
603002,宏昌电子,化工原料,广东,60000.0,60000.0,129313.27,116041.0,7275.0,1.59,5.1,20120518,5926.0,5.7,58.0
600371,万向德农,种植业,黑龙江,22506.0,22506.0,72293.75,40743.0,16017.0,1.7,13.7,20020916,1736.0,15.49,201.0
507,珠海港,港口,广东,77214.0,78954.0,552490.0,110990.0,180383.0,3.17,2.4,19930326,8816.0,5.72,51.0
600519,贵州茅台,白酒,贵州,125620.0,125620.0,7755903.0,5729744.0,1089120.0,47.64,4.7,20010827,1459817.0,202.74,17.0
601126,四方股份,电气设备,北京,81317.0,81317.0,543073.88,417770.0,53888.0,4.29,3.1,20101231,33530.0,9.82,24.0
767,漳泽电力,火力发电,山西,157372.0,225374.0,3315034.0,597827.0,1778106.0,2.65,2.2,19970609,35589.0,4.91,31.0
2639,雪人股份,专用机械,福建,36232.0,60000.0,232285.09,102204.0,72184.0,2.63,5.0,20111205,3465.0,9.02,156.0
600419,天润乳业,乳制品,新疆,8021.0,10356.0,107943.97,42926.0,40674.0,6.2,5.9,20010628,311.0,27.08,903.0
601006,大秦铁路,铁路,山西,1486679.0,1486679.0,10809201.0,1802555.0,6083451.0,5.91,1.5,20060801,1279295.0,7.39,9.0
868,安凯客车,汽车整车,安徽,69556.0,69557.0,513685.84,353255.0,101464.0,1.83,5.3,19970725,2799.0,6.6,164.0
603698,航天工程,专用机械,北京,8230.0,41230.0,404413.97,307911.0,71232.0,5.11,6.8,20150128,23466.0,25.61,45.0
581,威孚高科,汽车配件,江苏,83644.0,100895.0,1504460.75,825555.0,143968.0,11.33,2.2,19980924,117900.0,18.23,16.0
600572,康恩贝,中成药,浙江,119163.0,167382.0,943725.0,508902.0,159653.0,2.74,4.9,20040412,42181.0,10.78,43.0
601901,方正证券,证券,湖南,628985.0,823210.0,17671204.0,0.0,45621.0,4.17,2.4,20110810,115465.0,7.46,53.0
600858,银座股份,百货,山东,51755.0,52007.0,1177928.88,319768.0,392611.0,5.76,1.9,19940506,26457.0,8.31,16.0
600717,天津港,港口,天津,167477.0,167477.0,3338871.75,968094.0,1360211.0,8.48,1.4,19960614,107448.0,9.17,14.0
300255,常山药业,生物制药,河北,32890.0,47105.0,218321.75,132933.0,38914.0,3.06,5.8,20110819,11600.0,15.01,61.0
2728,台城制药,中成药,广东,5867.0,20000.0,124309.77,57289.0,12178.0,3.91,7.7,20140731,7977.0,21.71,54.0
603309,维力医疗,医疗保健,广东,5000.0,20000.0,85804.43,57817.0,18245.0,3.78,12.5,20150302,6234.0,40.14,129.0
300426,唐德影视,影视音像,浙江,4000.0,16000.0,139896.05,138762.0,474.0,5.23,16.9,20150217,6874.0,73.58,171.0
300189,神农基因,种植业,海南,102400.0,102400.0,159396.36,75470.0,29413.0,1.22,6.5,20110316,317.0,5.86,1895.0
601106,中国一重,工程机械,黑龙江,653800.0,653800.0,3858296.5,2780878.0,676074.0,2.4,3.4,20100209,2407.0,6.7,1820.0
300208,恒顺众昇,电气设备,山东,59732.0,76652.0,202034.31,101398.0,21977.0,1.35,16.1,20110426,6760.0,16.75,190.0
2338,奥普光电,电器仪表,吉林,11819.0,12000.0,95765.36,69122.0,20476.0,5.95,13.1,20100115,6366.0,58.7,111.0
616,海航投资,全国地产,辽宁,143013.0,143023.0,849110.19,755835.0,14112.0,2.97,2.8,19961108,24239.0,5.88,35.0
632,三木集团,综合类,福建,46549.0,46552.0,814953.69,552154.0,40113.0,2.71,3.7,19961121,1334.0,8.42,294.0
2547,春兴精工,通信设备,江苏,68443.0,101198.0,296484.81,158977.0,91808.0,1.79,6.9,20110218,1549.0,10.1,660.0
600597,光明乳业,乳制品,上海,122430.0,123064.0,3583706.75,1282090.0,1185611.0,2.86,5.6,20020828,42842.0,11.8,34.0
543,皖能电力,火力发电,安徽,174277.0,179040.0,2155723.25,325754.0,1323422.0,4.71,1.9,19931220,76932.0,6.74,16.0
600017,日照港,港口,山东,307565.0,307565.0,1855450.38,302625.0,1039630.0,3.3,2.0,20061017,72031.0,5.06,22.0
