code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
300437,清水源,0.0,0.0,0.0,0.0,0.0,105.77,0.0,0.0,0.0,143.106,17.173,705485.9,176371.475
300441,鲍斯股份,0.0,0.0,0.0,0.0,0.0,37.16,0.0,0.0,0.0,58.063,7.024,627855.36,156963.84
300462,华铭智能,0.0,0.0,0.0,0.0,0.0,42.24,0.0,0.0,0.0,42.24,11.951,581898.24,145474.56
300467,迅游科技,0.0,76.0,74.65,78.88,71.0,76.0,2989038.0,7.4726,226529885.0,37.811,29.952,1216000.0,304000.0
300498,温氏股份,0.0,0.0,0.0,0.0,0.0,43.32,0.0,0.0,0.0,51.571,7.415,15704571.65016,1108793.733024
300403,地尔汉宇,-0.022,44.47,45.5,45.55,42.81,44.48,1521339.0,2.58643,67052492.0,35.814,5.008,595898.0,261572.54
300266,兴源环境,-0.025,40.75,40.3,41.3,39.82,40.76,1879763.0,0.57865,76589439.0,94.767,15.247,1687099.906525,1323782.821
600262,北方股份,-0.03,33.84,33.59,34.2,32.8,33.85,674359.0,0.39668000000000003,22732934.0,46.356,5.01,575280.0,575280.0
002236,大华股份,-0.059,33.98,34.2,34.78,33.2,34.0,5781068.0,0.8869800000000001,195510656.0,33.644,6.7219999999999995,3941338.507796,2214722.825876
601009,南京银行,-0.065,15.36,15.6,15.68,15.07,15.37,18191186.0,0.61272,278812751.0,8.127,1.167,5170107.687936,4560281.385984
600383,金地集团,-0.066,15.24,15.11,15.68,14.74,15.25,53929728.0,1.19854,820672460.0,17.124,2.158,6857405.444928,6857405.444928
002081,金 螳 螂,-0.074,13.59,13.8,13.89,13.2,13.6,18961508.0,1.14016,256484464.0,12.701,2.866,2394837.672687,2260094.308074
600561,江西长运,-0.084,11.92,11.85,12.1,11.33,11.93,7386521.0,3.11583,86483462.0,18.921,1.877,282580.288,282580.288
600750,江中药业,-0.084,23.87,24.28,24.39,23.1,23.89,8634767.0,2.87826,205116414.0,27.437,3.241,716100.0,716100.0
600867,通化东宝,-0.084,23.89,24.1,24.4,23.48,23.91,5725376.0,0.5059600000000001,136813525.0,88.481,11.646,2713500.500289,2703383.085289
002665,首航节能,-0.086,23.36,23.7,24.38,23.01,23.38,7563697.0,1.34551,179673187.0,29.2,6.408,1705392.375616,1313171.649728
002205,国统股份,-0.087,22.98,23.9,23.95,21.5,23.0,5060203.0,4.35653,114278528.0,39.682,2.8200000000000003,266917.337364,266917.337364
002587,奥拓电子,-0.093,10.75,11.0,11.08,10.35,10.76,8301428.0,3.4934,88853212.0,35.833,6.835,401459.768025,255453.8496
000733,振华科技,-0.106,18.78,19.2,19.36,18.48,18.8,7145834.0,1.6650800000000001,135049897.0,67.071,2.545,881424.685404,805960.365372
002059,云南旅游,-0.113,8.82,8.88,8.97,8.55,8.83,10463334.0,2.00281,91486257.0,42.92,3.94,644559.052032,460785.625524
300151,昌红科技,-0.119,16.77,17.11,17.19,16.03,16.79,15596743.0,5.94004,259873381.0,64.5,10.612,842692.5,440329.68876
300347,泰格医药,-0.12,24.99,25.17,25.62,24.45,25.02,3000732.0,1.02429,75151992.0,42.356,11.605,1082856.45909,732102.606774
600261,阳光照明,-0.123,8.1,8.25,8.36,7.9,8.11,13562685.0,0.934,110296935.0,27.0,4.177,1176203.3733,1176203.3733
002252,上海莱士,-0.128,38.88,39.02,39.51,37.5,38.93,4167809.0,0.20706000000000002,160957314.0,86.4,10.39,10716338.234592,7826057.094096
600036,招商银行,-0.131,15.28,15.48,15.49,15.13,15.3,30700816.0,0.14882,469666147.0,6.883,1.104,38535924.078328,31521027.087512
603111,康尼机电,-0.134,22.3,22.55,22.9,21.25,22.33,2579404.0,1.7393100000000001,57185096.0,38.081,5.7780000000000005,658637.859,330709.0
600812,华北制药,-0.137,7.3,7.45,7.5,7.15,7.31,13322033.0,0.9663600000000001,97289783.0,270.37,2.265,1190487.45217,1006361.61734
002187,广百股份,-0.146,13.69,13.98,14.0,13.4,13.71,2759098.0,0.8218300000000001,37721350.0,19.557,1.913,468776.495592,459607.379886
002613,北玻股份,-0.147,6.8,6.8,6.9,6.54,6.81,20466080.0,5.6126000000000005,138015521.0,170.0,3.277,490212.0,247958.56396
002415,海康威视,-0.154,25.97,26.5,26.5,25.35,26.01,18265493.0,0.57886,472057192.0,22.197,6.183,10566601.541041,8194593.469678
300352,北信源,-0.157,38.16,38.3,38.89,35.5,38.22,13291346.0,8.33457,489621849.0,152.64,14.41,1031182.889184,608546.827224
600612,老凤祥,-0.159,37.74,38.29,38.29,36.8,37.8,601330.0,0.18963000000000002,22547914.0,21.005,4.714,1974246.441336,1196771.74362
600306,商业城,-0.162,18.45,18.55,18.9,17.26,18.48,10927872.0,6.15982,197083887.0,101.877,174.386,328666.30371,327313.56447
002688,金河生物,-0.168,17.83,17.76,18.0,16.92,17.86,2576512.0,1.22911,45400205.0,50.943,3.892,388408.72,373761.171738
600529,山东药玻,-0.185,16.23,16.42,16.57,15.8,16.26,4717219.0,1.83278,76398581.0,33.813,1.904,417727.920153,417727.920153
603899,晨光文具,-0.189,31.77,31.92,32.39,30.8,31.83,1852583.0,3.08764,58508850.0,37.425,7.06,1461420.0,190620.0
600595,中孚实业,-0.194,5.14,5.2,5.24,4.85,5.15,32554558.0,2.14899,164889133.0,257.0,1.6720000000000002,895151.767142,778645.121892
600560,金自天正,-0.2,14.95,15.05,15.3,14.55,14.98,5479958.0,2.45029,81730314.0,189.962,4.664,334350.0225,334350.0225
000049,德赛电池,-0.219,41.02,41.66,42.1,39.7,41.11,5517093.0,2.68807,225232275.0,35.894,9.637,841909.813276,841909.813276
601628,中国人寿,-0.224,22.25,22.63,22.69,21.86,22.3,14611978.0,0.07017000000000001,324282706.0,19.518,2.105,62888968.625,46332354.25
000659,*ST中富,-0.227,4.4,4.47,4.54,4.31,4.41,17093772.0,1.32953,75526393.0,146.667,5.124,565709.1088,565709.1088
600195,中牧股份,-0.229,17.4,17.69,17.72,16.78,17.44,7150324.0,1.66364,123802201.0,25.755,2.502,747852.0,747852.0
002294,信立泰,-0.232,25.8,26.2,26.5,25.33,25.86,2950320.0,0.6425200000000001,76218904.0,16.226,6.35,2698721.28,1184684.4
600892,宝诚股份,-0.235,55.21,56.0,57.47,52.35,55.34,794191.0,1.26417,43356725.0,2760.5,841.616,772200.445487,346846.572503
002734,利民股份,-0.236,29.63,29.87,29.87,28.58,29.7,2096630.0,6.45117,61434402.0,46.297,5.212,385190.0,96297.5
603366,日出东方,-0.243,8.2,8.32,8.34,7.98,8.22,4598127.0,0.57477,37554319.0,15.185,1.845,656000.0,656000.0
600387,海越股份,-0.248,12.09,12.3,12.4,11.57,12.12,7279177.0,1.8872200000000001,87262071.0,41.69,3.87,466794.9,466323.39
600467,好当家,-0.254,7.85,8.0,8.17,7.42,7.87,22765480.0,3.11644,176837481.0,261.667,1.9580000000000002,573440.26432,573440.26432
002400,省广股份,-0.254,19.65,19.84,20.27,19.0,19.7,5880579.0,0.72945,115020486.0,26.554,7.501,1777772.683695,1584123.187365
600998,九州通,-0.256,15.56,15.67,15.9,15.25,15.6,3199882.0,0.2237,49859201.0,43.222,2.761,2562746.679304,2225717.771724
600421,仰帆控股,-0.259,19.25,19.3,19.99,18.65,19.3,2353881.0,1.20342,45144277.0,1925.0,677.817,376530.0,376530.0
600160,巨化股份,-0.262,15.2,15.36,15.7,14.14,15.24,30355502.0,1.67625,450638874.0,168.889,3.806,2752592.24552,2752592.24552
000722,湖南发展,-0.264,15.11,15.4,15.45,14.79,15.15,3715379.0,0.8004600000000001,56081134.0,35.976,2.737,701343.164102,701338.448271
601777,力帆股份,-0.271,11.04,11.28,11.39,10.52,11.07,12800354.0,1.2880500000000001,140389578.0,27.367,1.984,1387014.130416,1097128.965648
600856,中天能源,-0.277,21.6,21.6,21.94,20.7,21.66,4217000.0,1.79576,89899439.0,21600.0,7.239,1225077.642,507236.18904
002705,新宝股份,-0.287,17.36,17.6,17.78,16.9,17.41,2666678.0,2.43803,46078217.0,35.45,3.345,767314.0832,189880.808656
002605,姚记扑克,-0.294,16.94,17.23,17.5,16.22,16.99,6222034.0,2.44328,104906165.0,51.804,6.15,633556.0,431392.864364
300383,光环新网,-0.294,40.66,41.3,41.89,38.0,40.78,13839918.0,5.91837,552578832.0,46.205,15.007,2219222.8,950821.41408
000695,滨海能源,-0.311,16.01,16.41,16.6,15.12,16.06,4927843.0,2.22254,77770458.0,1053.289,11.59,355658.209939,354975.863739
600236,桂冠电力,-0.317,6.28,6.32,6.34,6.1,6.3,6258522.0,0.55457,39151917.0,24.154,3.218,3807794.81512,708714.843588
601998,中信银行,-0.326,6.12,6.16,6.16,5.97,6.14,74128757.0,0.23234000000000002,450021889.0,7.034,0.973,28633844.144808,19525960.402884
600246,万通地产,-0.331,6.02,6.08,6.16,5.72,6.04,11227410.0,0.9227000000000001,66625636.0,162.264,2.053,732513.6,732513.6
