代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
723,美锦能源,焦炭加工,山西,0.0,19486.13,195919.84,78585.18,61865.38,14055.52,4537.22,0.02,-0.02,1.51,8.58,19970515,215.66666666666666
725,京东方Ａ,元器件,北京,40.1,2335352.25,3515306.75,14668750.0,5995297.5,6115481.5,3894211.25,1.11,0.057,2.22,1.37,20010112,230263.0
726,鲁  泰Ａ,纺织,山东,18.34,56079.92,95575.85,882950.69,318555.31,487490.56,100714.21,1.05,0.574,6.99,2.01,20001225,83561.66666666667
727,华东科技,元器件,江苏,0.0,35814.6,226478.34,2936565.75,1216726.13,249758.2,883919.81,3.9,-0.006999999999999999,4.74,2.15,19970520,189.66666666666666
728,国元证券,证券,安徽,15.44,196410.0,196410.0,7161073.5,0.0,146372.25,987550.38,5.03,1.139,9.75,2.4,19970616,142423.66666666666
729,燕京啤酒,啤酒,北京,20.69,250933.95,281853.94,2001396.75,734087.19,1096228.13,459227.25,1.63,0.304,4.59,1.83,19970716,75472.33333333333
731,四川美丰,农药化肥,四川,81.09,59129.69,59148.42,470263.34,168452.47,239331.38,64085.7,1.08,0.093,4.6,2.17,19970617,-649.6666666666666
732,泰禾集团,区域地产,福建,29.17,101577.28,124445.07,8028213.0,7585351.0,36638.9,425923.5,3.42,0.81,7.79,3.31,19970704,77868.66666666667
733,振华科技,元器件,贵州,66.18,42915.89,46934.21,651680.69,458232.09,93598.28,229117.72,4.88,0.273,7.38,3.26,19970703,11881.0
735,罗 牛 山,农业综合,海南,119.87,88008.24,88013.2,442510.09,144952.0,103736.75,19978.76,0.23,0.05,1.94,4.16,19970611,4124.0
736,中房地产,全国地产,重庆,197.58,13873.37,29719.39,803602.69,783386.75,4202.24,50896.95,1.71,0.071,5.73,3.27,19970425,5234.0
737,南风化工,日用化工,山西,0.0,54874.35,54876.0,317435.78,179867.69,98863.65,62494.98,1.14,-0.269,0.4,17.84,19970428,-8221.666666666666
738,中航动控,航空,江苏,179.43,114564.22,114564.22,694484.69,435344.81,168309.75,266719.88,2.33,0.133,4.11,7.76,19970626,18027.333333333332
739,普洛药业,化学制药,浙江,39.35,75394.2,114686.92,546735.38,265463.69,174237.81,20919.49,0.18,0.156,2.09,3.93,19970509,22300.0
